DEBUG: 2026-02-14 08:23:36,971 INFO: Query Bucket: h3_index='88589c8563fffff' canonical_name='Sangotedo' center='POINT(3.6285 6.4698)' id=None
DEBUG: 2026-02-14 08:23:36,978 INFO: Existing Alias: None
DEBUG: 2026-02-14 08:23:36,978 INFO: New Alias: id=None bucket_id=None name='Sangotedo' location=<WKTElement at 0x108ebca30; POINT(3.6285 6.4698)>
DEBUG: 2026-02-14 08:24:44,548 INFO: Application is starting -----------
DEBUG: 2026-02-14 08:24:44,551 INFO: Application started -----------
DEBUG: 2026-02-14 08:25:11,677 INFO: Application is starting -----------
DEBUG: 2026-02-14 08:25:11,679 INFO: Application started -----------
DEBUG: 2026-02-14 08:25:38,945 INFO: Application is starting -----------
DEBUG: 2026-02-14 08:25:38,947 INFO: Application started -----------
DEBUG: 2026-02-14 08:25:39,393 INFO: Query bucket: None
DEBUG: 2026-02-14 08:25:39,404 INFO: Query Bucket: h3_index='88589c8563fffff' canonical_name='Sangotedo' center='POINT(3.6285 6.4698)' id=None
DEBUG: 2026-02-14 08:25:39,410 INFO: Existing Alias: None
DEBUG: 2026-02-14 08:25:39,411 INFO: New Alias: id=None bucket_id=None name='Sangotedo' location=<WKTElement at 0x106599910; POINT(3.6285 6.4698)>
DEBUG: 2026-02-14 08:27:06,467 INFO: Application is starting -----------
DEBUG: 2026-02-14 08:27:06,470 INFO: Application started -----------
DEBUG: 2026-02-14 08:27:06,936 INFO: Query bucket: None
DEBUG: 2026-02-14 08:27:06,945 INFO: Query Bucket: h3_index='88589c8563fffff' canonical_name='Sangotedo' center='POINT(3.6285 6.4698)' id=None
DEBUG: 2026-02-14 08:27:06,951 INFO: Existing Alias: None
DEBUG: 2026-02-14 08:27:06,952 INFO: New Alias: id=None bucket_id=None name='Sangotedo' location=<WKTElement at 0x1074d9940; POINT(3.6285 6.4698)>
DEBUG: 2026-02-14 09:24:32,928 INFO: Application is starting -----------
DEBUG: 2026-02-14 09:24:32,930 INFO: Application started -----------
DEBUG: 2026-02-14 09:24:34,249 INFO: Query bucket: None
DEBUG: 2026-02-14 09:24:34,267 INFO: Query Bucket: h3_index='88589c8563fffff' canonical_name='Sangotedo' center='POINT(3.6285 6.4698)' id=None
DEBUG: 2026-02-14 09:24:34,273 INFO: Existing Alias: None
DEBUG: 2026-02-14 09:24:34,274 INFO: New Alias: id=None bucket_id=None name='Sangotedo' location=<WKTElement at 0x1072bae50; POINT(3.6285 6.4698)>
DEBUG: 2026-02-14 09:31:10,095 INFO: Application is starting -----------
DEBUG: 2026-02-14 09:31:10,097 INFO: Application started -----------
DEBUG: 2026-02-14 09:31:10,692 INFO: Query bucket: None
DEBUG: 2026-02-14 09:31:10,703 INFO: Query Bucket: h3_index='88589c8563fffff' canonical_name='Sangotedo' center='POINT(3.6285 6.4698)' id=None
DEBUG: 2026-02-14 09:31:10,708 INFO: Existing Alias: None
DEBUG: 2026-02-14 09:31:10,709 INFO: New Alias: id=None bucket_id=1 name='Sangotedo' location=<WKTElement at 0x113a5b0a0; POINT(3.6285 6.4698)>
DEBUG: 2026-02-14 09:32:13,555 INFO: Application is starting -----------
DEBUG: 2026-02-14 09:32:13,557 INFO: Application started -----------
DEBUG: 2026-02-14 09:32:14,137 INFO: Query bucket: None
DEBUG: 2026-02-14 09:32:14,153 INFO: Query Bucket: h3_index='88589c8563fffff' canonical_name='Sangotedo' center='POINT(3.6285 6.4698)' id=None
DEBUG: 2026-02-14 09:32:14,159 INFO: Existing Alias: None
DEBUG: 2026-02-14 09:32:14,160 INFO: New Alias: id=None bucket_id=1 name='Sangotedo' location=<WKTElement at 0x112106c10; POINT(3.6285 6.4698)>
